question,correctness,groundedness,status,latency,reference_answer,model_answer,docs_count,top_video_titles,probable_cause,notes
¿Cómo terminó la guerra en Asia?,0.0,0.0,success,6.996423,,"La guerra en Asia terminó con la rendición de Japón, que se produjo tras los bombardeos atómicos de Hiroshima y Nagasaki en agosto de 1945, así como la declaración de guerra de la Unión Soviética contra Japón. Aunque ...",0,,retrieval_or_chunking,Retrieved documents are likely irrelevant or incomplete.
¿Qué ocurrió en Hiroshima?,0.0,0.0,success,4.637257,,"En Hiroshima, ocurrió un evento trágico e devastador al ser objeto del primer bombardeo nuclear en la historia, pero el contexto proporcionado no menciona directamente este ataque ni sus consecuencias específicas. Sin...",0,,retrieval_or_chunking,Retrieved documents are likely irrelevant or incomplete.
¿Qué fue la campaña de Guadalcanal?,0.0,0.0,success,6.455543,,"La campaña de Guadalcanal fue una serie de combates cruciales en el Teatro del Pacífico durante la Segunda Guerra Mundial. Aunque el contexto proporcionado no detalla específicamente Guadalcanal, se puede inferir su i...",0,,retrieval_or_chunking,Retrieved documents are likely irrelevant or incomplete.
¿Qué ocurrió en Nagasaki?,0.0,0.0,success,5.46844,,"No hay información específica sobre lo que ocurrió en Nagasaki en el contexto proporcionado. Sin embargo, se puede inferir que, al igual que Hiroshima, Nagasaki fue una de las ciudades japonesas que sufrieron un impac...",0,,retrieval_or_chunking,Retrieved documents are likely irrelevant or incomplete.
¿Qué ocurrió durante la caída de Berlín?,0.0,1.0,success,7.598919,,"Durante la caída de Berlín en mayo de 1945, se produjo un intenso conflicto que culminó con la capitulación de la ciudad. Las defensas alemanas comenzaron a desmoronarse, con las fuerzas rusas avanzando y tomando posi...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
¿Qué ocurrió en el Día D?,0.0,1.0,success,6.773401,,"El Día D, que tuvo lugar el 6 de junio de 1944, fue una misión crucial en la que las fuerzas aliadas desembarcaron en las playas de Normandía, Francia. Durante este día, las primeras fuerzas norteamericanas desembarca...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
¿Qué ocurrió en la invasión de Francia de 1940?,0.0,1.0,success,5.764251,,"La invasión de Francia en 1940 fue una operación rápida y efectiva por parte de las fuerzas alemanas, culminando en la ocupación del país en solo 40 días. ""Tropas franco-británicas resistieron las crecientes olas de t...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
¿Qué fue la línea Maginot?,0.0,1.0,success,5.826865,,"La línea Maginot fue una serie de fortificaciones construidas por Francia a lo largo de su frontera con Alemania, diseñada para protegerse de un posible ataque alemán. Se compuso de ""enormes fortificaciones hechas de ...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
¿Qué fue la guerra en el Pacífico?,0.0,1.0,success,7.129513,,"La guerra en el Pacífico fue un conflicto significativo durante la Segunda Guerra Mundial que involucró a Japón y las fuerzas aliadas, principalmente Estados Unidos. Se inició de manera directa con el ataque japonés a...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
¿Qué fue la resistencia francesa?,0.0,1.0,success,6.272563,,"La Resistencia francesa fue un movimiento de oposición que surgió durante la ocupación alemana en la Segunda Guerra Mundial. Aunque estuvo ""en letargo durante la mayor parte de la guerra"", en momentos de crisis, como ...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
