project_name,question,correctness,groundedness,status,latency,reference_answer,model_answer,docs_count,top_video_titles,probable_cause,notes
wwii-rag-hybrid-63fbaed6,¿Qué países reciben apoyo del aluzo Bafe durante los ataques en Trondheim?,0.0,1.0,success,7.294961,,"Durante los ataques en Trondheim, los países que reciben apoyo del aluzo Bafe son los alemanes, que contraatacan a los británicos y a los franceses.",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Cuánto avanzaron las tropas alemanas en territorio ruso durante la ofensiva?,0.0,1.0,success,8.498457,,"Durante la ofensiva, las tropas alemanas avanzaron casi 320 kilómetros en territorio ruso en los primeros días de la invasión.",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Cuál es la intención de Hitler en relación a Polonia?,0.5,1.0,success,9.705322,,"La intención de Hitler en relación a Polonia incluía expandir el ""espacio vital"" de Alemania hacia el este, lo que implicaba la captura de territorios perdidos tras la Primera Guerra Mundial y la eliminación de la pob...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Cuál era el objetivo de la ofensiva aliada respecto a la línea Maginot en Bélgica?,0.5,1.0,success,8.344274,,El objetivo de la ofensiva aliada respecto a la línea Maginot en Bélgica era dividir el frente aliado. Esto se enmarca dentro de un plan que consideraba que la línea Maginot era absolutamente inexpugnable y que los al...,0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Qué era necesario para salvar a los soldados aliados de ser rodeados y aniquilados?,0.5,1.0,success,8.545445,,"Era necesario un milagro para salvar a los soldados aliados de ser rodeados y aniquilados por el fuego concentrado de los tanques, armamento pesado y bombardeos alemanes. Además, los aliados tuvieron que defender hero...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Qué están haciendo los alemanes en el resto de Italia durante los ataques?,0.5,1.0,success,8.517588,,"Los alemanes, durante los ataques en Salerno, se apresuran a arrebatar el control del país a los italianos en el resto de Italia. Además, están consolidando su influencia sobre el norte de Italia y preparándose para u...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Qué factor se mencionó como la culpa de la derrota de Alemania antes del invierno ruso?,0.5,1.0,success,9.25912,,"El factor mencionado como la culpa de la derrota de Alemania antes del invierno ruso fue la confianza excesiva de Hitler y su alto mando en una victoria rápida, lo que llevó a solicitar ropa de invierno solo para una ...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Qué ciudades importantes fueron capturadas por los paracaidistas alemanes durante la II Guerra Mundial?,0.5,1.0,success,9.755918,,"Durante la II Guerra Mundial, los paracaidistas alemanes capturaron las siguientes ciudades importantes:  1. **Rotterdam** y sus alrededores. 2. **La Haya** (la captura fue realizada por divisiones de infantería motor...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Qué ataque recibió la cabeza de playa de Salerno?,0.5,1.0,success,9.21281,,"La cabeza de playa de Salerno recibió ataques incesantes desde el aire y por artillería y tanques alemanes. Además, fue sitiada durante una semana, lo que permitió a los alemanes consolidar el control sobre el norte d...",0,,reference_mismatch_or_generation,The answer may be correct but does not match the reference wording.
wwii-rag-hybrid-63fbaed6,¿Qué partido se había convertido en el más grande de Alemania en la época de Hitler?,1.0,1.0,success,7.858624,,El partido que se había convertido en el más grande de Alemania en la época de Hitler era el Partido Nazi.,0,,ok,No obvious issue detected with the current heuristic.
wwii-rag-hybrid-63fbaed6,¿Qué grupo juvenil se menciona en el contexto de la Alemania de Hitler?,1.0,1.0,success,7.115674,,El grupo juvenil mencionado en el contexto de la Alemania de Hitler es las juventudes hitlerianas.,0,,ok,No obvious issue detected with the current heuristic.
wwii-rag-hybrid-63fbaed6,¿Qué ocurrió el 10 de mayo con las tropas holandesas cerca de la frontera alemana?,1.0,1.0,success,8.996073,,"El 10 de mayo, las tropas holandesas que vigilaban un puente cerca de la frontera alemana detectaron lo que parecía ser un batallón de soldados holandeses escoltando a un grupo de desertores alemanes. Sin embargo, jus...",0,,ok,No obvious issue detected with the current heuristic.
wwii-rag-hybrid-63fbaed6,¿Cómo se sentía Hitler mientras se refugiaba en búnkeres durante la guerra?,1.0,1.0,success,8.405026,,"Hitler se sentía aturdido y lleno de estupor mientras se refugiaba en búnkeres durante la guerra. Se volvió malhumorado, sufría de depresión y tenía pensamientos descontrolados. Estaba cada vez más aislado y raramente...",0,,ok,No obvious issue detected with the current heuristic.
wwii-rag-hybrid-63fbaed6,¿Quién llegó al poder en Italia en 1922?,1.0,1.0,success,7.671051,,Benito Mussolini llegó al poder en Italia en 1922 e instauró el primer estado fascista del mundo.,0,,ok,No obvious issue detected with the current heuristic.
